Item,Cost,Cost,Category2
Garlic Bread,2,2,HotFood
Pizza,2.5,2.5,HotFood
Potato Wedges,2,2,HotFood
Hot Dog,3.7,3.7,HotFood
Pie,3.7,3.7,HotFood
Sausage Roll,3.7,3.7,HotFood
Chilli Chicken,3.5,3.5,Baguette
Chicken Schnitzel,3.5,3.5,Baguette
Meatball,3.5,3.5,Baguette
Falafel,4,4,Baguette
Grainwaves,1,1,Snacks
Plain chips,1,1,Snacks
Honey Soy Chicken Chips,1,1,Snacks
Fruit,1.2,1.2,Snacks
Banana Bread,2,2,Snacks
Fruit Tubes,0.5,0.5,Ice Blocks
Chocolate Moo,1,1,Ice Blocks
Lifesaver Icy Pole,1,1,Ice Blocks
Lemonade Icy Pole,1,1,Ice Blocks
Twisted frozen yogurt,2,2,Ice Blocks
Water ,1.5,1.5,Drinks
(250ml Juices),1.5,1.5,Drinks
Up and Go,2,2,Drinks
Oak Strawberry-Chocolate,2,2,Drinks
Sushi,2.5,2.5,Specials
Butter Chicken with Rice,5,5,Specials 
Malaysian Chicken with Rice,5,5,Specials 
Dahl,5,5,Specials
